timestamp,sampleNum,BIOZI,BIOZQ,BIOZ
70981.6591796875,146.0,74080.0,-37395.0,164995.0
71000.341796875,147.0,73216.0,-36951.0,165439.0
71019.0244140625,148.0,72361.0,-36514.0,165876.0
71037.70703125,149.0,71515.0,-36083.0,166307.0
71056.3896484375,150.0,70677.0,-35659.0,166731.0
71075.072265625,151.0,69850.0,-35239.0,167151.0
71093.7548828125,152.0,69033.0,-34826.0,167564.0
71112.4375,153.0,68225.0,-34417.0,167973.0
71131.1201171875,154.0,67427.0,-34013.0,168377.0
71149.80249023438,155.0,66637.0,-33617.0,168773.0
71168.48510742188,156.0,65855.0,-33226.0,169164.0
71187.16772460938,157.0,65082.0,-32840.0,169550.0
71205.85034179688,158.0,64318.0,-32458.0,169932.0
71224.53295898438,159.0,63563.0,-32077.0,170313.0
71243.21557617188,160.0,62818.0,-31699.0,170691.0
71261.89819335938,161.0,62082.0,-31326.0,171064.0
71280.58081054688,162.0,61356.0,-30956.0,171434.0
71299.26342773438,163.0,60640.0,-30590.0,171800.0
71317.94604492188,164.0,59934.0,-30228.0,172162.0
71336.62866210938,165.0,59234.0,-29872.0,172518.0
71355.31127929688,166.0,58541.0,-29520.0,172870.0
71373.99365234375,167.0,57854.0,-29171.0,173219.0
71392.67626953125,168.0,57175.0,-28827.0,173563.0
71411.35888671875,169.0,56503.0,-28488.0,173902.0
71430.04150390625,170.0,55838.0,-28157.0,174233.0
71448.72412109375,171.0,55179.0,-27832.0,174558.0
71467.40673828125,172.0,54524.0,-27513.0,174877.0
71486.08935546875,173.0,53876.0,-27200.0,175190.0
71504.77197265625,174.0,53237.0,-26889.0,175501.0
71523.45458984375,175.0,52607.0,-26580.0,175810.0
71542.13720703125,176.0,51990.0,-26272.0,176118.0
71560.81982421875,177.0,51385.0,-25963.0,176427.0
71579.50244140625,178.0,50789.0,-25657.0,176733.0
71598.18505859375,179.0,50201.0,-25351.0,177039.0
71616.86743164062,180.0,49618.0,-25050.0,177340.0
71635.55004882812,181.0,49040.0,-24752.0,177638.0
71654.23266601562,182.0,48468.0,-24458.0,177932.0
71672.91528320312,183.0,47902.0,-24168.0,178222.0
71691.59790039062,184.0,47343.0,-23881.0,178509.0
